longitude,latitude,Size
144.96844626666666,-37.81442066666666,757185
146.50385813333332,-40.83668346666667,769178
145.98408426666666,-36.00234199999999,772576
144.89323613333335,-37.73781546666667,785930
146.30221693333334,-38.102792533333336,765023
147.33308605898122,-42.7505298927614,762163
144.95121306666667,-37.81841853333333,777404
143.22863133333334,-37.71230026666667,766525
145.2799212,-37.80990893333333,775718
144.98469186666665,-37.8441872,763737
144.5321704,-38.112998133333335,770143
145.10943373333333,-37.80989786666667,759228
144.40509666666668,-37.04046866666667,754809
145.028384,-37.76987426666667,766624
145.17607386666666,-38.125728933333335,759273
145.08771586666666,-37.91693,782163
